"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:27:30.708801033 +0000 UTC m=+524.070352679,200,3000,108,goMap,1.443422149s,1.443422149s,1.00,1.573436844s,1.09,1.511837813s,1.05
2023-01-20 20:27:36.174258402 +0000 UTC m=+529.536041857,200,3000,109,hashMap,1.394392749s,1.443644482s,1.04,1.394392749s,1.00,2.617468087s,1.88
2023-01-20 20:27:42.07225322 +0000 UTC m=+535.434036656,200,3000,110,syncMap,1.624358323s,2.267348027s,1.40,1.989904987s,1.23,1.624358323s,1.00
2023-01-20 20:27:47.811322761 +0000 UTC m=+541.173106190,200,3000,111,hashMap,1.805274054s,2.067920288s,1.15,1.805274054s,1.00,1.856431344s,1.03
2023-01-20 20:27:53.371548408 +0000 UTC m=+546.733331836,200,3000,112,hashMap,1.714884064s,2.031271584s,1.18,1.714884064s,1.00,1.804146021s,1.05
2023-01-20 20:27:58.710037889 +0000 UTC m=+552.071821319,200,3000,113,hashMap,1.70086432s,1.734150241s,1.02,1.70086432s,1.00,1.894354901s,1.11
2023-01-20 20:28:04.138507203 +0000 UTC m=+557.499858640,200,3000,114,hashMap,1.784265942s,1.808788139s,1.01,1.784265942s,1.00,1.823289173s,1.02
2023-01-20 20:28:09.214589814 +0000 UTC m=+562.575941233,200,3000,115,hashMap,1.590517814s,1.830072955s,1.15,1.590517814s,1.00,1.64678172s,1.04
2023-01-20 20:28:14.477065538 +0000 UTC m=+567.838416948,200,3000,116,goMap,1.506662023s,1.506662023s,1.00,1.708862999s,1.13,2.036687252s,1.35
2023-01-20 20:28:25.225577976 +0000 UTC m=+578.586929381,200,3000,117,hashMap,3.15917865s,4.380955862s,1.39,3.15917865s,1.00,3.190641008s,1.01
2023-01-20 20:28:35.225554673 +0000 UTC m=+588.586381184,200,3000,118,goMap,2.910421865s,2.910421865s,1.00,3.829068155s,1.32,3.24896714s,1.12
2023-01-20 20:28:42.58910368 +0000 UTC m=+595.949930203,200,3000,119,syncMap,2.137481776s,2.991175721s,1.40,2.220315115s,1.04,2.137481776s,1.00
